Файл;Назва;Категорія;Ширина м;Висота м;Глибина м;Трикутники;Точка привязки
P01_Block_1m;Блок 1 м;01_Primitives;1.0;1.0;1.0;44;Низ по центру
P02_Beam_2m;Балка 2 м;01_Primitives;0.25;0.25;2.0;44;Низ по центру
P03_Plate_2m;Плита 2 × 2 м;01_Primitives;2.0;0.15;2.0;44;Низ по центру
P04_RoundedBlock;Заокруглений блок;01_Primitives;1.0;1.0;1.0;188;Низ по центру
P05_Wedge;Клин / пандус;01_Primitives;0.98939;0.98939;2.0;32;Низ по центру
P06_Pyramid;Піраміда;01_Primitives;1.06066;1.5;1.06066;12;Низ по центру
P07_TruncatedPyramid;Зрізана піраміда;01_Primitives;1.27279;1.0;1.27279;12;Низ по центру
P08_Cylinder;Циліндр;01_Primitives;1.0;1.0;1.0;60;Низ по центру
P09_Cone;Конус;01_Primitives;1.2;1.5;1.2;60;Низ по центру
P10_TruncatedCone;Зрізаний конус;01_Primitives;1.2;1.0;1.2;60;Низ по центру
P11_HalfCylinder;Півциліндр;01_Primitives;1.19608;0.6;1.5;108;Низ по центру
P12_Sphere;Куля;01_Primitives;1.2;1.2;1.2;284;Низ по центру
P13_Hemisphere;Півкуля;01_Primitives;1.2;0.6;1.2;284;Низ по центру
P14_Ring;Кільце;01_Primitives;1.4;0.18;1.4;320;Низ по центру
P15_Tube;Труба;01_Primitives;1.0;1.0;1.0;320;Низ по центру
P16_Arch;Арка з отвором 1 м;01_Primitives;1.5;1.75;0.35;252;Низ по центру
P17_L_Block;L-подібна деталь;01_Primitives;1.5;0.35;1.5;68;Низ по центру
P18_T_Block;T-подібна деталь;01_Primitives;1.5;0.35;1.5;92;Низ по центру
P19_Stairs_5Steps;Сходи: 5 сходинок по 20 см;01_Primitives;1.5;1.0;1.0;140;Низ по центру
P20_Trapezoid;Трапецієподібний блок;01_Primitives;1.59009;1.0;0.5;44;Низ по центру
P21_TriangularPrism;Трикутна призма;01_Primitives;0.96461;1.2;1.11383;32;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P22_PentagonalPrism;П’ятикутна призма;01_Primitives;1.16881;1.2;1.22896;56;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P23_HexagonalPrism;Шестикутна призма;01_Primitives;1.288;1.2;1.12583;68;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P24_OctagonalPrism;Восьмикутна призма;01_Primitives;1.29082;1.2;1.29082;92;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P25_Tetrahedron;Тетраедр;01_Primitives;1.3;1.1;1.13;4;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P26_Octahedron;Октаедр;01_Primitives;1.2;1.2;1.2;8;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P27_Icosahedron;Ікосаедр, 20 граней;01_Primitives;1.34164;1.5;1.27596;20;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P28_Capsule;Гранована капсула;01_Primitives;1.0;2.0;1.0;144;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P29_Diamond;Двоконусна форма;01_Primitives;1.2;1.6;1.2;32;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P30_U_Channel;Відкритий U-профіль;01_Primitives;1.2;0.6;2.0;92;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P31_I_Beam;Двотаврова балка;01_Primitives;1.0;1.0;2.0;140;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P32_Cross_Prism;Хрестоподібний профіль;01_Primitives;1.4;0.5;1.4;140;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P33_Rect_Frame;Прямокутна наскрізна рамка;01_Primitives;2.0;0.2;1.4;96;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P34_Square_Tube;Квадратна порожниста труба;01_Primitives;1.08869;1.5;1.08869;96;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P35_Hex_Ring;Шестикутне кільце;01_Primitives;1.392;0.25;1.21244;144;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P36_Quarter_Arch;Чверть вертикальної арки;01_Primitives;1.09922;1.09922;0.22;156;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P37_Quarter_Deck;Чверть кільцевої платформи;01_Primitives;1.79922;0.22;1.79922;156;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P38_Curved_Wall;Стіна з поворотом 90°;01_Primitives;1.64922;1.5;1.64922;156;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P39_Pipe_Elbow90;Порожнистий відвід 90°;01_Primitives;1.13;1.13;0.56;432;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P40_Pipe_Elbow45;Порожнистий відвід 45°;01_Primitives;0.79903;0.72695;0.56;240;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P41_Pipe_Flange;Трубний фланець з отвором;01_Primitives;1.0;0.4;1.0;168;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P42_Square_Elbow90;Квадратний порожнистий відвід;01_Primitives;1.04799;1.04799;0.39598;144;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P43_Taper_Ramp;Пандус зі звуженням;01_Primitives;2.0;1.14463;1.99418;44;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P44_Corner_Ramp;Кутовий діагональний підйом;01_Primitives;2.0;1.15;2.0;32;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P45_Curved_Ramp;Увігнутий пандус;01_Primitives;2.0;1.14453;1.5;100;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P46_Ramp_Transition;Пандус із плавним входом і виходом;01_Primitives;2.0;1.14864;1.5;92;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
P47_Steps_Quarter;Поворотні сходи, 5 сходинок;01_Primitives;1.79763;1.0;1.79763;220;"Низ по центру або початок профілю; див. STAGE3_MODULES.json"
